"Fecha","Estación","Aceites y grasas (mg/L)","Alacloro (µg/L)","Aldrin (µg/L)","Alfa cipermetrina (µg/L)","AMPA (µg/L)","Atrazina (µg/L)","Atrazina desetil (µg/L)","Atrazina desisopropil (µg/L)","Azoxiestrobina (µg/L)","Clordano Cis (µg/L)","Clordano Trans (µg/L)","Clorofila_a_(lab_µg) (µg/L)","Clorpirifos (µg/L)","Clorpirifos Metil (µg/L)","Coliformes Termotolerantes (Fecales) (Membrana Filtrante) (ufc/100ml)","Color (unidad de color)","Compuestos Halogenados adsorbibles (AOX) (µg/L)","Conductividad (µS/cm)","Cromo VI (mg/L)","DBO5 (mg O2/L)","Demanda química de oxigeno (DQO) (mg O2/L)","Diazinon (µg/L)","Dieldrin (µg/L)","Diuron (µg/L)","Endosulfan alfa (µg/L)","Endosulfan beta (µg/L)","Endosulfan sulfato (µg/L)","Endrin (µg/L)","Escherichia coli (Memabrana Filtrante) (ufc/100ml)","Escherichia coli (Sustrato Definido - Colilert®) (NMP/100mL)","Etil Paration (µg/L)","Etion (µg/L)","Feofitina a (µg/L)","Fipronil (µg/L)","Floración Algal (sin unid)","Fluroxipir meptil (µg/L)","Fosfato (ortofosfato) (µg PO4-P/L)","Fósforo total (µg P/L)","Glifosato (µg/L)","Heptacloro (µg/L)","Heptacloro Epoxido (µg/L)","Hexaclorobenceno (µg/L)","Ion Nitrito (mg NO2-N/L)","Lindano (µg/L)","Malathion (µg/L)","Mercurio total (mg/L)","Metil Paration (µg/L)","Metoxicloro (µg/L)","Mirex (µg/L)","Nitrato (mg NO3-N/L)","Nitrógeno Amoniacal (amonio) (mg NH4-N/L)","Nitrógeno total (mg N/L)","o,p' DDD (µg/L)","o,p' DDE (µg/L)","o,p' DDT (µg/L)","Oxigeno disuelto (mg/L)","Potencial de hidrogeno (pH) (sin unid)","p,p' DDD (µg/L)","p,p' DDE (µg/L)","p,p' DDT (µg/L)","Profundidad_Sitio (m)","Saturación de oxígeno (%)","Simazina (µg/L)","Sólidos suspendidos totales (mg/L)","Sólidos totales (mg/L)","Temperatura (ºC)","Transparencia (cm)","Trifloxiestrobina (µg/L)","Trifluralina (µg/L)","Turbidez (NTU)"
"2011-01-18 10:23:00","CO01","26","","","","","","","","","","","","","","","31","","12120","0.007","2.5","","","","","","","","","","","","","","","","","","250","","","","","0.003","","","","","","","0.014","0.007","","","","","7.6","7.73","","","","","","","","","25","","","","5.3"
"2011-01-18 11:52:00","SJ04","","","","","","","","","","","","","","","","65","","769","","1","","","","","","","","","","","","","","","","","","420","","","","","0.003","","","","","","","0.084","0.01","","","","","8.6","8.26","","","","","","","","","27.6","","","","25"
"2011-01-18 12:04:00","SL06","","","","","","","","","","","","","","","","38","","880","","1","","","","","","","","","","","","","","","","","","341","","","","","0.003","","","","","","","0.25","0.007","","","","","5.6","7.97","","","","","","","","","27.2","","","","11"
"2011-01-18 13:05:00","SJ05","30","","","","","","","","","","","","","","","140","","1426","0.007","1","","","","","","","","","","","","","","","","","","2900","","","","","0.045","","","","","","","1.3","0.085","","","","","2.92","7.82","","","","","","","","","22.7","","","","61"
"2011-01-18 14:02:00","SJ02","","","","","","","","","","","","","","","","31","","514","","1","","","","","","","","","","","","","","","","","","299","","","","","0.003","","","","","","","0.035","0.036","","","","","6.8","7.58","","","","","","","","","25.9","","","","3.6"
"2011-01-18 15:05:00","SJ01","","","","","","","","","","","","","","","","50","","537","","1","","","","","","","","","","","","","","","","","","240","","","","","0.003","","","","","","","0.035","0.01","","","","","5.46","7.4","","","","","","","","","23.6","","","","2.9"
"2011-01-19 09:17:00","SLC01","","","","","","","","","","","","","","","7000","50","","432.8","","1","","","","","","","","","","","","","","","","","","85.6","","","","","0.003","","","","","","","0.035","0.022","","","","","4.38","7.31","","","","","","","","","21.4","","","","12"
"2011-01-19 10:00:00","SLC02","","","","","","","","","","","","","","","1250","100","","328.4","","2.2","","","","","","","","","","","","","","","","","","406","","","","","0.001","","","","","","","0.035","0.01","","","","","5.96","7.31","","","","","","","","","21.4","","","","17"
"2011-01-19 11:15:00","PS01=SLC03","","","","","","","","","","","","27.4","","","5000","90","","518","","3.9","","","","","","","","","","","","","0.05","","","","","911","","","","","0.15","","","","","","","1.6","0.31","","","","","4.55","7.37","","","","","","","","","25.3","","","","8.4"
"2011-01-19 11:40:00","PS02","","","","","","","","","","","","2.4","","","170","","","293.4","","","","","","","","","","","","","","","0.05","","","","","338","","","","","0.008","","","","","","","0.35","0.01","","","","","6.69","7.88","","","","","","","","","24.7","","","","11"
"2011-01-19 12:15:00","PS03","","","","","","","","","","","","2.5","","","","","","283.3","","","","","","","","","","","","","","","0.05","","","","","332","","","","","0.003","","","","","","","0.37","0.01","","","","","7","7.89","","","","","","","","","25.1","","","","10"
"2011-01-19 12:50:00","PS04","","","","","","","","","","","","1.9","","","","","","219.7","","","","","","","","","","","","","","","0.05","","","","","324","","","","","0.003","","","","","","","0.39","0.01","","","","","6.95","7.87","","","","","","","","","26.2","","","","10"
"2011-01-20 09:55:00","SL01","","","","","","","","","","","","","","","","31","","416","","1","","","","","","","","","","","","","","","","","","634","","","","","0.001","","","","","","","0.014","0.01","","","","","5.46","7.92","","","","","","","","","24.4","","","","4.8"
"2011-01-20 11:04:00","SL02","","","","","","","","","","","","","","","","31","","389.4","","1","","","","","","","","","","","","","","","","","","526","","","","","0.001","","","","","","","0.014","0.01","","","","","4.58","7.12","","","","","","","","","22.8","","","","2.8"
"2011-01-20 13:20:00","SL03","","","","","","","","","","","","","","","320","31","","412","","5","","","","","","","","","","","","","","","","","","591","","","","","0.001","","","","","","","0.014","0.007","","","","","6.6","7.95","","","","","","","","","26","","","","6.2"
