"Fecha","Estación","Clorofila_a_(lab_µg) (µg/L)","Coliformes Termotolerantes (Fecales) (Membrana Filtrante) (ufc/100ml)","Conductividad (µS/cm)","Enterococos (Sustrato Definido - Enterolet®) (NMP/100mL)","Escherichia coli (Memabrana Filtrante) (ufc/100ml)","Escherichia coli (Sustrato Definido - Colilert®) (NMP/100mL)","Floración Algal (sin unid)","Oxigeno disuelto (mg/L)","Potencial de hidrogeno (pH) (sin unid)","Salinidad (psu)","Standard value a (NO APLICA)","standard value b (NO APLICA)","Temperatura (ºC)","Transparencia (cm)","Turbidez (NTU)"
"2018-11-12 08:30:00","06SF","0","385","*","0","","0","0","*","7.85","0","0","0","22.5","0","*"
"2018-11-12 09:00:00","01AC","","225","","","","","NO","","7.65","","","","","",""
"2018-11-12 09:40:00","05SF","","125","","","","","NO","","8.73","","","","","",""
"2018-11-12 10:10:00","04SF","","10","","","","","NO","","7.95","","","","","",""
"2018-11-12 10:20:00","03LP","","95","","","","","NO","","7.88","","","","","",""
"2018-11-12 13:10:00","02SL","","<LD","","","","","NO","","8.2","","","","","",""
"2018-11-21 11:10:00","03LP","","250","","","","","NO","","7.84","","","","","",""
"2018-11-21 11:20:00","05SF","","155","","","","","NO","","7.88","","","","","",""
"2018-11-21 12:00:00","06SF","","150","","","","","NO","","7.81","","","","","",""
"2018-11-21 12:25:00","04SF","","80","","","","","NO","","7.87","","","","","",""
"2018-11-21 12:35:00","01AC","","90","","","","","NO","","7.65","","","","","",""
"2018-11-21 13:20:00","02SL","","80","","","","","NO","","8.2","","","","","",""
"2018-12-05 07:45:00","05SF","","100","","","","","NO","6.34","7.52","","","","","",""
"2018-12-05 08:10:00","06SF","","40","","","","","NO","7.21","7.86","","","","","",""
"2018-12-05 08:35:00","01AC","","100","","","","","NO","7.3","7.73","","","","","",""
"2018-12-05 09:30:00","04SF","","455","","","","","NO","6.31","7.68","","","","","",""
"2018-12-05 09:50:00","03LP","","180","","","","","NO","6.3","7.5","","","","","",""
"2018-12-05 12:30:00","02SL","","55","","","","","NO","6.85","8.14","","","","","",""
"2018-12-19 00:00:00","06SF","","","","","","","NO","","","","","","","",""
"2018-12-19 00:00:00","04SF","","540","","","","","NO","6.78","7.8","","","","","",""
"2018-12-19 00:00:00","03LP","","640","","","","","NO","6.3","7.82","","","","","",""
"2018-12-19 00:00:00","02SL","","1940","","","","","NO","6.85","7.9","","","","","",""
"2018-12-19 00:00:00","05SF","","470","","","","","NO","6.8","7.8","","","","","",""
"2018-12-19 10:00:00","01AC","","930","","","","","NO","7.3","7.9","","","","","",""
"2018-12-26 00:00:00","01AC","","360","","","","","NO","7.3","7.36","","","","","",""
"2018-12-26 00:00:00","03LP","","370","","","","","NO","6.31","7.3","","","","","",""
"2018-12-26 00:00:00","04SF","","10","","","","","NO","6.72","7.65","","","","","",""
"2018-12-26 00:00:00","05SF","","150","","","","","NO","6.81","7.6","","","","","",""
"2018-12-26 00:00:00","02SL","","250","","","","","NO","6.85","7.82","","","","","",""
"2018-12-26 08:30:00","06SF","","35","","","","","NO","6.65","7.72","","","","","",""
"2019-01-02 08:45:00","05SF","","130","287","","","","0","7.55","7.71","","","","","",""
"2019-01-02 09:00:00","06SF","","170","284","","","","0","7.41","7.21","","","","","",""
"2019-01-02 09:20:00","01AC","","490","297","","","","0","7.05","7.38","","","","","",""
"2019-01-23 08:30:00","01AC","","220","","","","","NO","7.06","7.43","","","","","",""
"2019-01-23 09:30:00","05SF","","10","","","","","NO","7.5","7.31","","","","","",""
"2019-01-23 09:45:00","04SF","","120","","","","","NO","7.54","7.28","","","","","",""
"2019-01-23 10:00:00","06SF","","170","","","","","NO","7.45","7.65","","","","","",""
"2019-01-23 10:30:00","03LP","","260","","","","","NO","6.32","7.5","","","","","",""
"2019-01-23 12:15:00","02SL","","50","","","","","NO","6.86","7.39","","","","","",""
"2019-02-07 09:00:00","01AC","","","","","","","NO","4.55","7.11","","","","","",""
"2019-02-07 09:35:00","06SF","","","","","","","NO","5.91","7.53","","","","","",""
"2019-02-07 10:00:00","05SF","","","","","","","NO","4.5","7.15","","","","","",""
"2019-02-07 10:15:00","04SF","","","","","","","NO","4.51","7.13","","","","","",""
"2019-02-07 10:30:00","03LP","","","","","","","NO","4.48","7.15","","","","","",""
"2019-02-07 12:30:00","02SL","","","","","","","NO","6.5","7.32","","","","","",""
"2019-02-27 09:30:00","05SF","","205","","","","","NO","6.72","7.6","","","","","","1.01"
"2019-02-27 10:00:00","06SF","","240","","","","","NO","7.05","7.81","","","","","","2.06"
"2019-02-27 10:30:00","01AC","","208","","","","","NO","7.02","7.83","","","","","","2.02"
"2019-02-27 10:45:00","03LP","","155","","","","","NO","6.25","7.83","","","","","","2.1"
"2019-02-27 11:30:00","04SF","","130","","","","","NO","6.3","7.71","","","","","","2.09"
"2019-02-27 12:15:00","02SL","","45","","","","","NO","7.28","7.81","","","","","","4.43"
"2019-03-07 00:00:00","03LP","","350","","","","","NO","7.15","7.82","","","","","","2.1"
"2019-03-07 00:00:00","06SF","","490","","","","","NO","5.65","7.8","","","","","","2.06"
"2019-03-07 00:00:00","02SL","","215","","","","","NO","6.32","7.93","","","","","","4.43"
"2019-03-07 00:00:00","04SF","","310","","","","","NO","4.01","7.51","","","","","","2.09"
"2019-03-07 00:00:00","05SF","","175","","","","","NO","4","7.49","","","","","","1.01"
"2019-03-07 09:00:00","01AC","","115","","","","","NO","7.06","7.85","","","","","","2.02"
"2019-11-20 09:30:00","06SF","","10","","","","","0","4.67","8.02","","","","21.6","","2.09"
"2019-11-20 10:00:00","01AC","","70","","","","","0","4.75","7.95","","","","20","","2.19"
"2019-11-20 10:35:00","03LP","","250","","","","","0","4.95","8.15","","","","21.5","","3.47"
"2019-11-20 12:30:00","02SL","","10","","","","","0","6.85","8.14","","","","21.9","","4.56"
"2019-11-25 08:40:00","01AC","","","*","","","","0","8.16","7.85","","","","20.9","","0.85"
"2019-11-25 09:15:00","06SF","","","*","","","","0","6.28","8.11","","","","19.2","","1.14"
"2019-11-25 10:15:00","03LP","","","*","","","","0","6.45","8.2","","","","20.9","","1.26"
"2019-11-25 12:15:00","02SL","","","*","","","","0","6.7","8.1","","","","21","","1.39"
"2019-12-02 08:00:00","02LDM","","50","92","","","","","","7.08","","","","23.4","",""
"2019-12-02 08:10:00","01SLC","","90","325","","","","","","7.74","","","","23.1","",""
"2019-12-02 09:00:00","01AC","","200","","","","","0","5.57","8.1","","","","19","","0.85"
"2019-12-02 09:45:00","06SF","","200","","","","","0","5.49","7.96","","","","20","","1.14"
"2019-12-02 10:05:00","03LP","","300","","","","","0","6.04","7.98","","","","18","","1.26"
"2019-12-02 12:30:00","02SL","","400","","","","","0","7.05","7.65","","","","18","","1.39"
"2019-12-09 08:30:00","01AC","","55","","","","","0","5.6","7.7","","","","19","",""
"2019-12-09 09:15:00","06SF","","65","*","","","","0","5.56","7.64","","","","20","",""
"2019-12-09 10:30:00","03LP","","25","*","","","","0","6.04","7.65","","","","18","",""
"2019-12-09 12:30:00","02SL","","20","*","","","","0","5.7","7.65","","","","19","",""
